"purchase_date","Chemists & Drgustores","Clothing","DIY Goods","Eletrical Goods","Food & Consumables","Furniture & Carpets","Garden Products","Household & Textiles","Music, Films & Books","Services","Sports Equipments","Total Sales"
2017-07-29,2118.69,2510.29,1167.6,2561.15,NA,2576.54,NA,6250.97,579.2,51.05,521,18645.1
2017-07-30,908.38,1561.11,1264.07,2020.9,NA,3587.2,1107.77,4989.27,34.53,NA,1626.47,17126.14
2017-07-31,1186.86,2275.16,891.4,3574.27,155.18,1824.11,609.84,6935.93,1679.51,125.15,2237.98,21563.49
2017-08-01,4764.18,2077.02,2708.83,2043.54,38.27,2051.66,779.69,9470.69,130.56,602.59,2462.32,27129.35
2017-08-02,3041.88,1298.44,1318.2,3600.21,24.35,1638.56,597.71,8870.71,760.06,NA,1092.91,23035.29
2017-08-03,2731.77,1648.41,1611.76,2936.31,NA,2433.65,2071.86,8319.68,44,NA,1333.42,23366.26
2017-08-04,1012.79,4305.62,857.63,3291.5,NA,2968.01,244.55,8073.83,213.65,225.17,1374.31,22649.98
2017-08-05,798.21,3169.03,869.8,1434.85,223.08,2232.45,388.78,3704.19,NA,76.99,1718.61,14980.51
2017-08-06,927.96,2813.47,1762.26,1158.11,171.79,3427.64,379.39,2978.4,1048.3,NA,2240.95,17203.43
2017-08-07,3694.02,2864.2,2389.85,2696.11,NA,3657.76,2947.04,5482.17,520.38,147.06,3731.32,28204.23
2017-08-08,1644.89,2759.6,1278.74,3062.6,51.27,2724.21,204.99,7203.12,258.62,334.63,2060.32,21702.45
2017-08-09,996.12,2287.46,2358.51,1925.01,60.19,2775.41,915.66,10357.91,227.93,NA,1799.8,23948.64
2017-08-10,3061.89,2569.46,1727.62,2623.49,NA,1074.41,1116.92,8403.2,213.17,NA,3205.37,24367.17
2017-08-11,1147.82,326.1,3367.76,3884.05,NA,2634.03,680.8,8760.55,444.77,314.48,1554.5,23777.38
2017-08-12,4652.77,1632.18,3178.24,1473.31,213.06,2003.9,484.23,4605.16,130.56,76.99,928.6,19406.01
2017-08-13,2276.3,1122.23,1516.9,3865.47,NA,606.3,293.98,4740.4,130.98,NA,313.28,16595.97
2017-08-14,3569.79,2314.62,1116,1489.63,54.1,2586.02,854.29,7949.42,NA,NA,2486.1,23249.85
2017-08-15,3386.31,2063.39,1402.99,3429.41,126.92,4098.45,1435.24,9775.85,459.32,296.83,2429.59,29330.21
2017-08-16,2170.63,2282.1,1396.48,4198.9,175.15,2060.86,1137.52,10034.96,2124.07,163.35,2110.99,28421.56
2017-08-17,1403.05,989.53,2057.03,3395.48,NA,2524.99,1063.78,8185.41,462.06,40.77,2114.85,22653.5
2017-08-18,3318.34,1327.58,1374.36,2364.67,NA,1324.55,3693.24,5471.43,217.88,70.58,1258.34,20442.59
2017-08-19,1672.3,1896.16,951.28,1796.51,NA,3117.45,2282.14,4173.68,NA,778.27,929.36,17770.02
2017-08-20,4347.12,1699.96,1163.44,1376.18,35,1857.8,262.28,4786.46,199.69,NA,498.28,16426.77
2017-08-21,2367.94,4024.32,1628.79,4757.05,NA,2843.08,1852.8,8225.61,938.1,194.66,1264.73,28708.98
2017-08-22,3736.63,2109.84,2633.5,1948.78,NA,2498.05,513.63,6114.99,140.8,296.51,2083.03,22853.41
2017-08-23,1218.11,1615.44,750.85,4356.35,160.92,2357.35,852.01,5397.79,208.48,221.06,2021.31,19700.02
2017-08-24,3033.42,1196.48,1139.06,1929.45,77.67,1994.08,366.3,5728.12,193.82,112.46,1581.8,17795.46
2017-08-25,2712.59,1794.5,1135.69,1812.03,NA,1479.13,250.24,7860.28,849.97,88.52,725.69,18848.94
2017-08-26,706.71,1010.06,482.4,1237.25,302.58,1761.1,1215.83,5322.08,197.65,NA,586.6,13015.19
2017-08-27,1674.37,1870.06,2905.02,2135.38,28.17,1683.89,981.89,3669.87,60.22,NA,2151.21,17423.99
2017-08-28,1831.57,1563.05,1477.57,6327.66,160.46,4443,1772.75,7558.52,334.52,NA,1789.5,27344.33
2017-08-29,2110.67,3374.69,1210.22,20009.15,140.29,2711.68,324.41,6402.73,47.11,NA,1459.23,37990.55
2017-08-30,2842.35,1415.94,1762.17,13921.83,41.81,2022.71,1722.22,8989.87,1558.89,224.6,1402.72,36707.99
2017-08-31,2101.82,3834.85,477.12,4920.67,NA,2771.06,614.92,7324.51,1456.62,63.14,1246.07,24992.78
2017-09-01,1868.37,4184.63,1597.27,12116.28,NA,3472.2,1073.29,5529.45,1612.66,392.57,2944.05,34974.54
2017-09-02,1942.05,626.71,1161.49,7236.91,NA,772.45,1054.63,6190.33,1082.87,NA,997.37,21165.06
2017-09-03,1392.37,7124.42,3321.36,5428.99,NA,4170.67,824.78,9807.44,263.69,NA,1079.77,34196.9
2017-09-04,4314.69,4237.18,929.72,9251.43,NA,2166.21,770.46,6301.38,104.37,47.09,1636.15,30397.51
2017-09-05,3040.15,1558.59,1233.61,4392.31,NA,2735.88,819.58,8871.17,NA,418.04,3486.88,27646.84
2017-09-06,1996.44,1461.25,724.49,10968.55,NA,1764.84,637.08,6755.02,119.84,NA,3815.15,28503.09
2017-09-07,2099.73,1031.98,1952.52,5622.15,NA,2238.57,797.67,4027.78,1237.08,NA,606.73,22145.51
2017-09-08,1792.69,1042.35,1741.9,1837.27,118.23,2110.11,1043.29,4349.89,164.06,NA,1237.04,15735.47
2017-09-09,3563.2,1841.99,857.08,2099.46,54.6,2338.59,220.02,6793.2,43.72,NA,903.33,18977.12
2017-09-10,2269.27,3323.76,2629.55,2742.27,47.52,1922.7,1631.11,4490.84,342.67,83.9,2140.41,21832.1
2017-09-11,5506.25,2304.17,907.37,2416.47,142.13,3697.02,680.51,9446.74,1015.6,200.94,2387.43,29135.07
2017-09-12,3171.54,3823.08,2035.48,7667.19,61.52,3030.03,1916.97,8080.1,997.13,NA,1746.56,32931.66
2017-09-13,2908.58,4247.53,4144.08,2634.92,100.98,1725.64,2560.83,10294.83,325.46,906.5,2408.23,33086.34
2017-09-14,3584.51,2469.63,2054.71,4840.71,NA,2366.51,733.65,10406.41,256.79,NA,2275.7,29369.3
2017-09-15,1840.49,1799.33,346.63,3389.06,24.1,1486.53,2915.8,7793.21,267.69,242.97,1490.57,22048.31
2017-09-16,2625.4,3681.98,1122.94,2880.43,102.36,1985.2,267.4,9453.6,250.95,NA,2134.03,25005.88
2017-09-17,2716.12,5093.44,1968.17,3545.94,200.24,1646.25,150.91,6535.32,144.41,281.65,1259.2,23770.9
2017-09-18,3762.18,2297.69,2123.58,5267.94,73.13,3513.32,683.21,10827.88,424.76,NA,5485.13,34655.48
2017-09-19,1113.37,2482.78,3267.84,4915.04,210.36,2709.75,1604.3,5247.35,283.44,NA,2153.61,24290.48
2017-09-20,2213.97,1565.2,2517.96,1543.74,376.81,2799.08,878.74,10015.38,603.2,92.95,3173.45,26634.05
2017-09-21,3357.48,2996.88,1221.01,1191.23,73.13,2523.77,766.47,9490.6,57.67,NA,3620.19,25298.43
2017-09-22,1917.67,3584.06,1077.3,1750.41,73.13,2701.41,1550.1,5314.18,NA,131.56,1525.99,19791.13
2017-09-23,1514.5,756.49,913.21,802.24,179.8,960.07,62.5,4439.62,NA,1004.77,1497.86,12332.16
2017-09-24,2606.76,3174.82,739.51,1408.47,NA,1673.79,384.85,4680.14,45.53,241.19,954.14,16291.3
2017-09-25,3190.77,1970.71,2076.88,4179.82,73.16,1035,999.99,7230.01,544.9,NA,1601.21,23135.79
2017-09-26,2783.07,2675.6,1378.44,3374.84,NA,2271.84,1390.65,8938.67,533.44,NA,2538.25,26020.34
2017-09-27,2338.8,1759.5,958.73,5965.96,73.13,1950.3,1570.34,7572.48,86.78,NA,2040.48,25494.27
2017-09-28,4177.28,2800.04,3232.74,3873.58,NA,1657.71,199.23,7942.57,1820.05,125.51,1633.05,27524.67
2017-09-29,1523.24,3502.59,2291.42,16397.22,NA,1134.49,905.88,7329.2,137.18,203.38,908.95,35160.46
2017-09-30,1348.64,1113.66,550.52,2852.42,117.98,884.44,941.91,4952.98,1075.4,NA,1700.35,15538.3
2017-10-01,1590.31,2254.83,1151.13,2243.09,244.92,1652.7,3215.34,8523.32,332.95,131.56,1316.09,22656.24
2017-10-02,2440.96,2090,2622.52,3965.34,160.83,5467.23,1283.09,6549.92,152.9,128.31,2551.86,27799.77
2017-10-03,3276.28,4231.47,966.49,4739.26,NA,2817.36,1623.37,11174.28,150.74,NA,2345.48,31526.11
2017-10-04,1669.92,2298.98,2750.8,3966.19,125.51,2263.28,3199.58,5972.25,27.68,131.56,2076.8,25388.74
2017-10-05,2119.41,2124.08,782.78,9989.7,NA,2581.94,724.93,9824.12,132.53,120.71,3565.69,34447.22
2017-10-06,1912.46,2008.18,3347.24,1392.22,275.48,996.82,1224.11,5322.68,65.69,1787.72,2102.14,22904.56
2017-10-07,1410.96,1450.45,1281.37,4947.92,177.69,1948.97,1129.35,4805.74,106.85,NA,528.45,18455.24
2017-10-08,1927.08,3911.12,1624.82,1493.3,146.29,919.75,1414.63,5425.91,61.88,133.25,2749.15,20371.34
2017-10-09,3227.45,2337.76,3094.36,4700.92,69.64,3458.68,1537,9811.33,912.37,NA,2386.34,34663.79
2017-10-10,2757.27,5837.68,2041.98,8356.06,219.68,1628.02,632.57,7050.21,238.45,37.1,3099.68,34092.92
2017-10-11,1717.61,3319.06,1502.24,6646.65,NA,1743.05,578.77,7972.47,31.01,586.01,1475.26,28115.08
2017-10-12,1764.6,4495.98,2207.5,1380.27,NA,3683.94,1222.18,7068.58,334.22,NA,827.29,23881.33
2017-10-13,1934.48,3385.43,3780.36,5943.8,NA,3132.12,715.56,6574.4,146.67,578.9,1765,28405.36
2017-10-14,1077.55,1575.37,3353.73,3217.96,44.85,2249.82,492.75,4043.91,NA,48.09,1175.55,17912.06
2017-10-15,1767.26,1856.49,1664.93,6641.97,NA,1145.11,490.98,6319.74,160.06,NA,1841.93,22372.56
2017-10-16,4552,6131.34,3414.59,6990.73,233.64,2567.08,953.75,8892.69,588.62,205.3,2234.8,36764.54
2017-10-17,3655.18,4503.65,3126.93,6816.63,476.21,4156.41,811.7,14949.76,729.18,992.36,2008.54,42799.82
2017-10-18,2593.83,5312.14,1425.28,4743.84,169.33,2573.57,354.98,10661.17,982.24,NA,3360.43,34859.78
2017-10-19,2797.4,5950.28,2061.08,2885.18,NA,3549.43,990.62,7529.05,82.85,NA,2455.81,28661.32
2017-10-20,2599.33,2854.97,2015.39,1920.01,478.78,2095,505.18,6709.25,1708.48,NA,1361.57,22694.89
2017-10-21,3150.66,2639.01,1949.19,2345.45,245.47,2307.69,1403.06,2993.45,280.82,NA,1002.56,18781.63
2017-10-22,2771.78,2426.67,632.5,4461.88,241.62,2602.13,720.54,7012.21,653.05,NA,2369.39,23930.45
2017-10-23,2110.07,2898.6,1700.58,4683.29,NA,3532.99,453.98,6724.74,524.44,61.93,2623.71,27493.57
2017-10-24,2382.71,3234.82,2500.99,7047.39,416.03,1051.17,933.11,7149.22,61.11,36.65,1665.18,26854.07
2017-10-25,1925.98,2002.49,3382.96,1915.26,563.95,2385.63,1167.45,5748.68,207.74,132.57,2049.13,22220.78
2017-10-26,3253.38,2668.27,2516.23,2984.3,NA,3159.05,1401.35,7371.53,102.73,45.78,1413.17,27699.43
2017-10-27,1292.59,3010.16,2761.01,7008.45,63.46,2023.2,1104.77,5423.97,312.98,764,714.98,24809.68
2017-10-28,2156.85,1539.87,522.59,2532.51,NA,3364.12,717.64,3258.22,2207.5,2467.33,695.41,19716.44
2017-10-29,2573.69,3708.27,1282.21,3066.37,NA,2126.34,3380.6,5933.91,327.9,NA,1389.02,23905.25
2017-10-30,807.4,1955.59,3184.76,5978.27,237.58,3340.35,1066.94,5916.41,61.01,105.3,2579.98,25872.04
2017-10-31,1534.38,1618.12,965.22,10611.07,NA,3444.22,1173.95,5546.06,537.29,NA,2276.81,27918.75
2017-11-01,2196.6,5503.11,1424.11,5605.62,NA,673.63,1553.46,3198.79,355.38,99.95,1995.92,23241.77
2017-11-02,1486.17,3525.09,2322.39,5287.39,235.31,2632.37,461.58,7585.1,NA,491.45,2603.59,27564.67
2017-11-03,3371.87,2658.6,1840.74,3921.16,235.31,3239.77,1368.2,6111.28,2254.65,NA,2292.17,28660.43
2017-11-04,1925.49,2240.55,2637.24,2127.63,237.47,3642.86,1612.04,7563.95,363.73,NA,1497.27,23964.56
2017-11-05,1405.56,2071.78,3187.87,1626.88,372.01,2282.04,1088.86,8400.26,NA,NA,1478.66,22727.87
2017-11-06,1618.45,4786.03,3090.06,5579.16,38.91,4535.39,1104.24,8045.48,89.28,442.75,1456.03,34148.52
2017-11-07,3265.68,6720.87,1715.63,1518.61,128.95,2285.25,2974.51,7295.11,130.15,NA,1585.8,27952.13
2017-11-08,1576.38,3276.74,2242.29,3866.93,NA,2377.3,529.97,8644.44,44.73,84.59,959.9,23829.39
2017-11-09,2733.56,3517.98,1072.79,5639.96,188.31,1951.19,1258.42,10318.36,1225.17,473.28,1810.65,30466.92
2017-11-10,4086.78,2645.62,1564.68,2543.62,46.27,3784.67,1579.7,4071.95,132.05,519.98,2599.4,23752.34
2017-11-11,1782.35,3293.97,3021.07,1821.65,NA,2496.91,2264.38,8436.93,992.13,1023.37,1798.52,29009.81
2017-11-12,1372.67,5432.06,2785.37,6060.15,73.13,2056.59,1389.49,5052.71,287.8,1117.03,3565.13,29709.83
2017-11-13,2912.33,5339.97,2397.73,3494.38,228.45,3882.85,1205.81,8914.47,244.86,37.84,1398.97,30874.62
2017-11-14,3707.87,2740.24,1170.19,3922.73,422.72,3924.53,993.01,10254.79,206.99,1303.21,989.54,32340.58
2017-11-15,2936.1,4506.43,2970.97,2700.73,81.54,3309.57,1855.56,6961.24,1299.93,NA,1930.23,28689.38
2017-11-16,2507.24,3730.87,1543.32,2923.9,109.3,2150.55,6762.64,11158.78,652.32,45,3087.71,35957.52
2017-11-17,2584.37,4886.64,3897.35,4728.04,170.92,4430.02,569.24,11761.46,578.88,842.96,2103.54,38460.45
2017-11-18,3945.28,2380.1,3117.5,3374.29,496.48,2741.91,1061.93,9489.82,372.79,469.74,1512.23,29757.27
2017-11-19,3367.89,1722.86,2707.84,2782.82,55.6,2125.84,1027.78,8101.09,579.72,NA,1651.91,24592.42
2017-11-20,6760.05,5033.11,6823.76,8489.9,NA,4956.09,580.73,13636.1,1843.27,3184.55,2069.66,54059.33
2017-11-21,4893.06,6016.81,2535.97,7003.28,53.59,11776.03,1773.19,12308.13,175.57,NA,2203.8,49842.63
2017-11-22,3095.04,3740.65,1931.28,4119.87,300.77,3159.7,2085.7,10685.35,162.38,420.28,918.51,32189.79
2017-11-23,6882.94,6808.38,4883.17,7106.12,185.27,5081.05,1896.82,12677.59,2827.66,874.4,2305.38,53236.29
2017-11-24,22816.3,23571.88,8841.37,25720.78,565.82,21840.78,9195.66,62491.78,3492.86,6716.14,10211.15,197094.39
2017-11-25,9243.49,5473.47,3132.97,11159.59,103.65,8495.25,5579.24,24508.5,3859.47,NA,6264.38,78459.9
2017-11-26,5581.17,4181.81,2551.68,8425.08,143.06,4667.6,4300.47,22619.43,581.3,392.1,2397.95,57133.32
2017-11-27,6177.49,4353.68,3701.97,13743.49,34.09,7537.85,3082.05,20087.42,892.03,253.95,2567,63187.58
2017-11-28,6404.2,3110.38,3532.22,7883.05,408.51,9478.03,2480.6,18001.24,2237.56,425.24,5690.73,60417.32
2017-11-29,6861.77,5791.09,1400.04,5180.16,518.54,6988.48,2665.64,17926.04,856.11,166.78,1798.74,51763.39
2017-11-30,3087.34,4649.17,1853.41,3597.08,467.63,3430.32,925.32,14805.66,683.53,51.71,3216.36,37575.3
2017-12-01,5895.08,6245.09,2863.8,6115.27,675.6,4301.79,827.86,14161.02,211.15,452.81,8050.52,50135.51
2017-12-02,4335.84,7119.87,2598.45,2271.22,123.75,3400.25,768.32,14861.14,288.22,NA,1605.5,37557.29
2017-12-03,4021.83,4582.26,2780.08,2805.77,201.53,2493.51,437.49,13909.27,2311.38,NA,2574.3,36909.53
2017-12-04,7254.62,6379.64,2121.59,6910.4,718.3,3782.37,2289.54,21244.76,345.1,487.47,2580.83,57336.19
2017-12-05,5165.81,5098.28,5287.78,4273.54,296.35,4458.61,1267.11,16091.97,223.03,NA,4052.2,48168.86
2017-12-06,6188.53,3668.69,5888.25,5215.44,212.95,2634.38,2961.93,15780.86,170.39,522.41,2745.19,47872.04
2017-12-07,3613.98,2097.17,1639.02,4425.72,237.56,2382.36,2460.12,12314.73,553.62,780.05,3893.21,35975.35
2017-12-08,5069.77,2296.27,3724.02,3313.85,69.43,3066.93,1980.01,10507.99,660.49,301.76,4179.1,36877.51
2017-12-09,2019.5,1638.18,4146.14,2767.25,NA,919.06,694.06,8071.13,949.62,68,2662.15,24565.55
2017-12-10,2332.31,5477.87,1681.93,2733.88,31.75,2211.74,1821.61,10219.36,344.2,374.13,2511.37,30797.46
2017-12-11,5164.8,4219.89,2884.76,4718.26,524.51,2396.23,566.37,14672.46,759.18,NA,4630.26,41056.97
2017-12-12,4332.63,4456.17,2673.28,4541.77,281.44,4203.65,537.27,15030.84,1105.75,277.68,3174.71,42836.03
2017-12-13,5732.23,5246.54,2305.24,3326.08,NA,2217.26,3001.79,9659.16,126.85,97.17,2493.23,34866.15
2017-12-14,3173.7,1405.68,1894.31,3231.96,61.43,1639.9,1100.45,12265.4,1937.87,57.68,3480.12,31625.21
2017-12-15,5325.45,3959.93,1797.12,6716.04,223.35,1350.63,538.38,9175.58,358.94,282.01,2327.61,32194.42
2017-12-16,2766.59,4642.46,1569.94,4649.16,188.38,798.83,488.77,6004.02,466.16,108.73,1550.17,23926.6
2017-12-17,4616.75,2480,1225.39,2129.97,67.61,2159.86,2506.43,5446.64,511.58,NA,1547.96,23012.99
2017-12-18,3186.26,4312.31,903.86,3243.65,65.43,3690.53,652.16,13715.61,689.53,516.35,2858.54,34525.56
2017-12-19,2174.67,3528.73,1699.75,1727.02,94.19,1950.27,1124.48,8269.9,868.13,31.75,2598.16,24740.06
2017-12-20,4463.81,1767.12,1640.46,6143.36,65.43,1023.88,1367.03,9809.55,1705.36,864.72,3887.11,33354.13
2017-12-21,1622.18,1822.77,928.07,4349.26,121.6,2930.34,1002.96,7736.35,102.86,102.24,804.16,22026.58
2017-12-22,970.14,3037.83,87.06,2090.87,257.43,445.61,1055.86,6433.53,120.27,2352.48,774.25,18514.7
2017-12-23,1184.43,1166.07,745.27,3040.64,37.34,686.18,573.53,6892.66,829.37,NA,878.92,17350.08
2017-12-24,977.73,723.87,974.79,820.28,73.65,629.92,225.71,1934.83,178.27,NA,227.66,6766.71
2017-12-25,1051.26,1074.5,194.48,896.98,352.25,1911.75,910.17,5430.33,93.87,NA,746.64,12662.23
2017-12-26,2472.58,2278.77,4067.59,4800.12,54.18,2217.12,478.99,6437.39,1043.79,97.17,1317.8,26308.78
2017-12-27,1934.72,2740.63,2221.71,2158.03,138.19,1232.87,1413.98,7620.82,219.39,135.49,1062.16,22974.27
2017-12-28,1523.51,2524.49,1037.25,2470.93,71.64,381.44,1074.04,6127.76,481.39,798.86,1019.28,18272.23
2017-12-29,2326.39,4409.44,2109.5,1953.24,131.43,1057.76,1743.69,4614.09,42.27,267.4,1614.46,22598.81
2017-12-30,885.98,1296.43,1024.11,1007.94,70.23,1641.3,1377.02,3862.39,1160.88,719.15,2184.03,16042.79
2017-12-31,1711.55,1979.93,674.89,1146.97,131.37,1048.78,63.33,2229.16,236.17,NA,305.41,10240.76
2018-01-01,1032.72,1859.55,1128.68,1406.8,130.03,493.4,424.54,2375.47,124.69,NA,424.53,9768.27
2018-01-02,3329.83,1486.27,2851.15,5230.57,461.02,1359.73,661.99,10710.24,719.72,169.93,2284.53,31356.52
2018-01-03,2883.72,2581.61,2061.37,7211.21,125.08,3932.52,972.46,14616.1,1088.8,311.36,2828.24,39589.39
2018-01-04,3344.29,3106.98,3805.91,5164.98,325.29,4562.89,494.11,15323.86,1207.46,1451.23,2373.64,43294.47
2018-01-05,3570.99,4436.98,1291.63,4795.42,130.85,3213.7,991.16,13568.6,584.26,504.09,1578.9,35524.63
2018-01-06,1883.54,2711.05,2958,5240.69,82.42,5729.03,719.46,14109.86,588.74,566.96,2290.76,37549.84
2018-01-07,1606.76,2827.29,2485.42,5937.4,330.43,5788.84,757.56,12509.55,NA,432.36,1905.98,34656.95
2018-01-08,3502.85,3447.11,4805.3,8459.41,96.34,4128.33,2328.3,16658.31,471.57,NA,3420.94,49149.39
2018-01-09,4075.78,3942.49,2285.13,7030.67,443.94,2236.3,849.86,12694.71,644.21,NA,3856.15,39304.65
2018-01-10,4198.04,1687.7,1753.5,11638.08,181.21,5132.62,1160.79,13351.7,1124.14,1279.77,3907.02,45672.98
2018-01-11,3925.17,5366.65,3462.83,8071.69,232.26,3045.85,721.7,14644.65,2597.64,211.29,4645.61,48271.49
2018-01-12,2693.64,4734.94,1296.71,7548.39,318.27,6679.74,1145.45,8832.65,863.84,729.13,5212.31,40930.17
2018-01-13,3431.85,2511.57,2537.53,2679.72,120.28,3171.73,475.79,13120.36,654.93,39.44,4663.09,34511.07
2018-01-14,3271.18,5974.04,3304.19,2893.93,113.93,2264,842.27,11819.43,697.64,475.27,4322.43,37282.41
2018-01-15,4054.46,6602.49,3528.66,7605.19,145.31,5263.63,797.77,13471.29,546.05,47.4,3933.74,46493.54
2018-01-16,4791.22,4077.03,3858.92,10037.78,42.44,5351.04,2633.84,14547.26,2249.26,442.26,5420.46,55854.41
2018-01-17,5524.76,3510.82,3185.91,5371.65,140.89,3445.11,955.5,12928.51,661.98,911.8,4592.32,43157.84
2018-01-18,2759.14,3378.96,3780.12,5993.52,36.7,3882.9,449.83,8717.22,645.35,1899.67,3181.1,35597.78
2018-01-19,3223.12,4164.63,1859.45,5823.24,69.71,4213.21,774.07,9343.53,125.29,NA,5358.89,36531.09
2018-01-20,3148.12,3763.51,1241.61,5091.62,NA,4293.72,1472.03,5844.88,864.25,312.57,1471.56,28174.14
2018-01-21,2444.22,2858.41,857.01,2374.85,111.25,3719.65,1636.35,9342.42,267.67,232.67,3689.96,29747.1
2018-01-22,4471.95,6559.65,1934.63,8398.54,57.78,2699.9,2982.1,11893.48,1356.79,36.65,3597.65,46591.83
2018-01-23,6672.94,6209.73,3185.75,4869.06,417.78,4813.92,969.5,11836.17,1015.38,NA,2861.9,43141.2
2018-01-24,3898.31,7699.56,4645.93,4659.75,378.51,2766.42,2830.03,11063.97,33.85,33.6,3230.56,41715.78
2018-01-25,3138.94,2621.26,3857.71,6303.41,69.71,3888.52,2486.51,9526.72,984.2,235.84,3282.79,37213.05
2018-01-26,4413.53,2691.25,1848.19,4235.08,164.91,5060.9,3899.97,10028.37,1305.21,215.79,7573.27,41945.36
2018-01-27,4846.59,3258.84,1526.1,2813.61,151.03,1899.22,574.28,10441.32,535.48,NA,1914.1,28093.73
2018-01-28,2697.17,2418.11,1109.11,2299.41,63.6,2216.93,476.19,9049.18,3236.43,1455.71,3069.2,28681.01
2018-01-29,4342.23,3268.16,2924.06,5199.74,121.03,3347.55,1233.54,11746.39,381.7,NA,5846.14,38719.75
2018-01-30,2900.51,4241.61,1385.21,7037.34,326.85,2069.52,922.32,14222.11,370.48,1884.88,4190.38,40565.66
2018-01-31,3150.35,6085.54,2335.17,6604.29,NA,3171.93,452.67,11547.38,635.04,439.72,3345.66,38460.68
2018-02-01,4826.19,6073.83,2287.28,5778.12,317.23,6258.96,1859.11,6325.24,1172.54,675.44,2395.78,37969.72
2018-02-02,5941.63,1682.44,392.21,6568.85,143.8,3868.99,1219.7,9257.38,1153,554.46,2203.56,33736.46
2018-02-03,2052.25,2685.98,3648.14,6512.32,30.29,2403.36,194.04,8236.44,99.87,NA,2180.73,28502.33
2018-02-04,4213.3,2107.19,1789.33,2796.08,127.45,3256.73,1171.86,8524.99,510.22,1319.34,3478.15,29935.05
2018-02-05,5177.42,3734.93,1128.38,5767.1,196.03,4027.59,2596.12,17775.63,1127.13,1084.63,3936.84,47074.11
2018-02-06,4586.01,7859.95,1445.13,6048.29,63.6,5924.14,1053.69,9652.63,201.5,496.9,4582.71,42742.13
2018-02-07,4417.7,1933.55,2960.8,6691.29,794.6,1883.77,637.68,10837.63,289.04,1766.39,3649.4,36812.82
2018-02-08,3333.52,3001.31,2422.7,8328.09,134.23,2380.96,1346.73,8050.39,624.96,366.41,3073.2,34035.33
2018-02-09,5207.02,3235.78,4754.49,5966.93,162.13,1997.69,1198.38,9080.8,255.83,590.14,2191.46,35576.41
2018-02-10,2009.15,3203.05,1398.15,3400.04,98.91,1469.22,1495.51,7006.92,639.29,NA,4386.14,25852.98
2018-02-11,2727.14,1042.84,2400.14,8687.73,127.14,974.31,937.81,5324.91,69.44,453.43,3582.05,26629.67
2018-02-12,3974.52,2281.95,1801.26,5431.28,70.63,921.13,1368.87,9208.52,52.01,259.45,2653.36,29364.67
2018-02-13,4523.42,855.83,3202.36,3523.86,63.6,1912.16,3221.11,8026.45,659.54,336.03,3209.37,30998.97
